"","date","home_team","away_team","ft_home","fg_home","threes_home","ft_away","fg_away","threes_away"
"1","10/24/2023","Denver","LA Lakers",9,34,14,15,31,10
"2","10/24/2023","Golden State","Phoenix",22,26,10,13,31,11
"3","10/25/2023","Orlando","Houston",23,33,9,10,20,12
"4","10/25/2023","New York","Boston",14,18,18,22,25,12
"5","10/25/2023","Indiana","Washington",11,36,20,23,35,9
"6","10/25/2023","Charlotte","Atlanta",19,32,11,27,34,5
"7","10/25/2023","Toronto","Minnesota",11,22,14,18,26,8
"8","10/25/2023","Miami","Detroit",21,29,8,9,30,11
"9","10/25/2023","Brooklyn","Cleveland",20,33,9,9,27,17
"10","10/25/2023","Memphis","New Orleans",16,26,12,17,26,14
"11","10/25/2023","Chicago","Oklahoma City",14,27,12,15,26,19
"12","10/25/2023","Utah","Sacramento",23,32,9,17,28,19
"13","10/25/2023","San Antonio","Dallas",16,35,11,17,32,15
"14","10/25/2023","LA Clippers","Portland",13,31,16,13,34,10
"15","10/26/2023","Milwaukee","Philadelphia",25,30,11,19,25,16
"16","10/26/2023","LA Lakers","Phoenix",23,31,5,18,25,9
"17","10/27/2023","Memphis","Denver",20,27,10,12,27,14
"18","10/27/2023","Charlotte","Detroit",26,26,7,21,30,10
"19","10/27/2023","Cleveland","Oklahoma City",17,26,12,15,27,13
"20","10/27/2023","Boston","Miami",13,29,16,19,22,16
"21","10/27/2023","Atlanta","New York",24,30,12,20,23,20
"22","10/27/2023","San Antonio","Houston",21,33,13,10,44,8
"23","10/27/2023","Chicago","Toronto",22,29,8,16,30,9
"24","10/27/2023","Dallas","Brooklyn",22,29,15,9,24,21
"25","10/27/2023","Utah","LA Clippers",20,26,16,22,27,14
"26","10/27/2023","Sacramento","Golden State",20,29,12,12,34,14
"27","10/27/2023","Portland","Orlando",18,26,9,21,27,9
"28","10/28/2023","New Orleans","New York",7,31,9,14,26,7
"29","10/28/2023","Washington","Memphis",17,24,16,9,20,19
"30","10/28/2023","Detroit","Chicago",16,33,12,13,28,11
"31","10/28/2023","Toronto","Philadelphia",14,21,17,18,33,10
"32","10/28/2023","Cleveland","Indiana",15,31,12,14,33,15
"33","10/28/2023","Minnesota","Miami",6,32,12,8,23,12
"34","10/28/2023","Phoenix","Utah",26,35,10,12,28,12
"35","10/29/2023","Oklahoma City","Denver",15,31,6,11,42,11
"36","10/29/2023","Milwaukee","Atlanta",16,23,16,18,32,15
"37","10/29/2023","Houston","Golden State",18,25,9,18,17,18
"38","10/29/2023","Philadelphia","Portland",35,29,11,19,29,7
"39","10/29/2023","Sacramento","LA Lakers",17,32,17,26,28,15
"40","10/29/2023","LA Clippers","San Antonio",13,31,16,12,19,11
"41","10/30/2023","Washington","Boston",18,28,11,5,32,19
"42","10/30/2023","Indiana","Chicago",21,24,12,26,34,6
"43","10/30/2023","Charlotte","Brooklyn",19,39,8,23,37,12
"44","10/30/2023","Toronto","Portland",11,34,4,12,27,11
"45","10/30/2023","Atlanta","Minnesota",17,34,14,9,28,16
"46","10/30/2023","Oklahoma City","Detroit",23,31,13,19,24,15
"47","10/30/2023","New Orleans","Golden State",16,28,10,13,36,15
"48","10/30/2023","Milwaukee","Miami",22,32,12,19,28,13
"49","10/30/2023","Memphis","Dallas",12,28,14,18,19,23
"50","10/30/2023","Denver","Utah",7,38,9,7,31,11
"51","10/30/2023","LA Lakers","Orlando",14,34,8,13,24,14
"52","10/31/2023","Cleveland","New York",9,26,10,20,25,13
"53","10/31/2023","Phoenix","San Antonio",12,24,18,15,29,14
"54","10/31/2023","LA Clippers","Orlando",16,30,14,19,31,7
"55","11/01/2023","Toronto","Milwaukee",13,36,15,28,22,13
"56","11/01/2023","Detroit","Portland",10,29,11,27,31,7
"57","11/01/2023","Oklahoma City","New Orleans",23,31,7,17,27,13
"58","11/01/2023","New York","Cleveland",20,27,5,19,20,12
"59","11/01/2023","Miami","Brooklyn",14,26,13,19,21,16
"60","11/01/2023","Boston","Indiana",27,34,20,7,41,5
"61","11/01/2023","Atlanta","Washington",29,37,9,9,41,10
"62","11/01/2023","Minnesota","Denver",26,30,8,7,32,6
"63","11/01/2023","Houston","Charlotte",19,23,21,18,34,11
"64","11/01/2023","Dallas","Chicago",20,17,20,10,31,11
"65","11/01/2023","Utah","Memphis",17,25,22,25,21,14
"66","11/01/2023","LA Lakers","LA Clippers",27,35,11,17,33,14
"67","11/01/2023","Golden State","Sacramento",13,28,11,18,25,11
"68","11/02/2023","Philadelphia","Toronto",21,33,9,13,28,10
"69","11/02/2023","New Orleans","Detroit",33,25,14,21,28,13
"70","11/02/2023","Utah","Orlando",19,29,12,27,29,10
"71","11/02/2023","Phoenix","San Antonio",19,27,16,12,33,18
"72","11/03/2023","Indiana","Cleveland",16,30,15,20,36,8
"73","11/03/2023","Milwaukee","New York",20,15,20,19,28,10
"74","11/03/2023","Oklahoma City","Golden State",24,35,15,25,31,18
"75","11/03/2023","Chicago","Brooklyn",10,32,11,3,26,18
"76","11/03/2023","Miami","Washington",12,35,13,9,33,13
"77","11/03/2023","Portland","Memphis",28,30,9,9,37,10
"78","11/03/2023","Denver","Dallas",14,36,13,15,24,17
"79","11/04/2023","Philadelphia","Phoenix",15,32,11,27,23,9
"80","11/04/2023","New Orleans","Atlanta",17,32,8,19,31,14
"81","11/04/2023","Orlando","LA Lakers",16,34,12,19,29,8
"82","11/04/2023","Indiana","Charlotte",12,23,22,23,39,8
"83","11/04/2023","Minnesota","Utah",24,36,9,13,23,12
"84","11/04/2023","Houston","Sacramento",14,27,13,14,21,11
"85","11/04/2023","Brooklyn","Boston",11,26,17,23,28,15
"86","11/04/2023","Denver","Chicago",23,26,16,16,32,7
"87","11/05/2023","Detroit","Phoenix",12,35,8,26,35,8
"88","11/05/2023","San Antonio","Toronto",10,38,10,16,25,19
"89","11/05/2023","Cleveland","Golden State",22,30,11,20,18,16
"90","11/05/2023","Dallas","Charlotte",24,29,14,12,41,8
"91","11/05/2023","Portland","Memphis",12,23,14,9,32,13
"92","11/06/2023","Philadelphia","Washington",32,39,12,16,35,14
"93","11/06/2023","Orlando","Dallas",14,32,8,20,26,15
"94","11/06/2023","Indiana","San Antonio",22,35,20,23,32,8
"95","11/06/2023","Detroit","Golden State",20,25,13,16,34,12
"96","11/06/2023","New York","LA Clippers",17,29,12,14,25,11
"97","11/06/2023","Miami","LA Lakers",14,29,12,11,36,8
"98","11/06/2023","Brooklyn","Milwaukee",11,33,16,21,30,16
"99","11/06/2023","Oklahoma City","Atlanta",22,31,14,27,24,14
"100","11/06/2023","Minnesota","Boston",13,31,13,26,25,11
"101","11/06/2023","Houston","Sacramento",21,28,15,11,22,14
"102","11/06/2023","Chicago","Utah",16,30,18,15,25,16
"103","11/06/2023","Denver","New Orleans",17,36,15,13,32,13
"104","11/08/2023","Philadelphia","Boston",13,33,9,16,21,15
"105","11/08/2023","Indiana","Utah",17,39,13,17,34,11
"106","11/08/2023","Charlotte","Washington",26,33,8,20,29,18
"107","11/08/2023","New York","San Antonio",15,27,19,8,35,9
