"","X","gameID","date","away_team","home_team","away_even","home_even","away_powerplay","home_powerplay","away_shorthanded","home_shorthanded","away_OT","home_OT","away_SO","home_SO"
"1",1,"45209-CHI@PIT","2023-10-10","Chicago Blackhawks","Pittsburgh Penguins",4,2,0,0,0,0,0,0,0,0
"2",2,"45209-NSH@TB","2023-10-10","Nashville Predators","Tampa Bay Lightning",2,3,0,2,1,0,0,0,0,0
"3",3,"45209-SEA@VGS","2023-10-10","Seattle Kraken","Vegas Golden Knights",1,4,0,0,0,0,0,0,0,0
"4",4,"45210-CHI@BOS","2023-10-11","Chicago Blackhawks","Boston Bruins",1,3,0,0,0,0,0,0,0,0
"5",5,"45210-COL@LA","2023-10-11","Colorado Avalanche","Los Angeles Kings",4,2,0,0,1,0,0,0,0,0
"6",6,"45210-EDM@VAN","2023-10-11","Edmonton Oilers","Vancouver Canucks",0,5,0,3,1,0,0,0,0,0
"7",7,"45210-MTL@TOR","2023-10-11","Montreal Canadiens","Toronto Maple Leafs",4,3,0,2,1,0,0,0,0,1
"8",8,"45210-OTT@CAR","2023-10-11","Ottawa Senators","Carolina Hurricanes",2,3,1,1,0,1,0,0,0,0
"9",9,"45210-WPG@CGY","2023-10-11","Winnipeg Jets","Calgary Flames",3,3,0,1,0,1,0,0,0,0
"10",10,"45211-DET@NJ","2023-10-12","Detroit Red Wings","New Jersey Devils",1,3,0,1,2,0,0,0,0,0
"11",11,"45211-FLA@MIN","2023-10-12","Florida Panthers","Minnesota Wild",0,1,0,1,0,0,0,0,0,0
"12",12,"45211-NYR@BUF","2023-10-12","New York Rangers","Buffalo Sabres",3,1,1,0,1,0,0,0,0,0
"13",13,"45211-PHI@CBJ","2023-10-12","Philadelphia Flyers","Columbus Blue Jackets",4,2,0,0,0,0,0,0,0,0
"14",14,"45211-SEA@NSH","2023-10-12","Seattle Kraken","Nashville Predators",0,2,0,0,0,1,0,0,0,0
"15",15,"45211-STL@DAL","2023-10-12","St. Louis Blues","Dallas Stars",1,1,0,0,0,0,0,0,0,1
"16",16,"45211-VGS@SJ","2023-10-12","Vegas Golden Knights","San Jose Sharks",4,1,0,0,0,0,0,0,0,0
"17",17,"45212-ARI@NJ","2023-10-13","Arizona Coyotes","New Jersey Devils",1,1,0,2,2,0,0,0,1,0
"18",18,"45212-PIT@WSH","2023-10-13","Pittsburgh Penguins","Washington Capitals",2,0,0,0,2,0,0,0,0,0
"19",19,"45213-ANA@VGS","2023-10-14","Anaheim Ducks","Vegas Golden Knights",1,2,0,2,0,0,0,0,0,0
"20",20,"45213-BUF@NYI","2023-10-14","Buffalo Sabres","New York Islanders",2,3,0,0,0,0,0,0,0,0
"21",21,"45213-CAR@LA","2023-10-14","Carolina Hurricanes","Los Angeles Kings",3,3,2,2,0,0,0,0,1,0
"22",22,"45213-CGY@PIT","2023-10-14","Calgary Flames","Pittsburgh Penguins",1,5,0,0,1,0,0,0,0,0
"23",23,"45213-CHI@MTL","2023-10-14","Chicago Blackhawks","Montreal Canadiens",2,2,0,0,0,1,0,0,0,0
"24",24,"45213-COL@SJ","2023-10-14","Colorado Avalanche","San Jose Sharks",1,1,0,0,0,0,0,0,1,0
"25",25,"45213-FLA@WPG","2023-10-14","Florida Panthers","Winnipeg Jets",3,3,0,2,1,1,0,0,0,0
"26",26,"45213-MIN@TOR","2023-10-14","Minnesota Wild","Toronto Maple Leafs",4,5,0,2,0,0,0,0,0,0
"27",27,"45213-NSH@BOS","2023-10-14","Nashville Predators","Boston Bruins",2,1,0,2,0,0,0,0,0,0
"28",28,"45213-NYR@CBJ","2023-10-14","New York Rangers","Columbus Blue Jackets",2,4,0,1,1,0,0,0,0,0
"29",29,"45213-PHI@OTT","2023-10-14","Philadelphia Flyers","Ottawa Senators",1,2,0,3,1,0,0,0,0,0
"30",30,"45213-SEA@STL","2023-10-14","Seattle Kraken","St. Louis Blues",0,1,0,0,1,0,0,0,0,1
"31",31,"45213-TB@DET","2023-10-14","Tampa Bay Lightning","Detroit Red Wings",3,6,0,0,1,0,0,0,0,0
"32",32,"45213-VAN@EDM","2023-10-14","Vancouver Canucks","Edmonton Oilers",3,1,0,2,1,0,0,0,0,0
"33",33,"45214-CAR@ANA","2023-10-15","Carolina Hurricanes","Anaheim Ducks",1,6,0,0,2,0,0,0,0,0
