"Wk","Home","Away","league_conseq","league_conseq.home","league_conseq.away","home_can_win_league","home_can_reach_champions","home_can_reach_europa","home_can_be_relegated","away_can_win_league","away_can_reach_champions","away_can_reach_europa","away_can_be_relegated","Season_End_Year","Competition_Name","Gender","Country","Round","Day","Date","Time","HomeGoals","Home_xG","AwayGoals","Away_xG","Attendance","Venue","Referee","Notes","MatchURL","home_points_at_start","home_max_points","home_locked_league_win","home_locked_champions","home_locked_europa","home_locked_relegation","away_points_at_start","away_max_points","away_locked_league_win","away_locked_champions","away_locked_europa","away_locked_relegation"
1,"Chievo","Juventus",1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2019,"Serie A","M","ITA",NA,"Sat",17761,"18:00",2,1.1,3,3.1,29500,"Stadio Marc'Antonio Bentegodi","Fabrizio Pasqua",NA,"https://fbref.com/en/matches/2758c0c0/Chievo-Juventus-August-18-2018-Serie-A",0,111,0,0,0,0,0,111,0,0,0,0
1,"Lazio","Napoli",1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2019,"Serie A","M","ITA",NA,"Sat",17761,"20:30",1,1,2,1.4,32000,"Stadio Olimpico","Luca Banti",NA,"https://fbref.com/en/matches/34947288/Lazio-Napoli-August-18-2018-Serie-A",0,111,0,0,0,0,0,111,0,0,0,0
1,"Torino","Roma",1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2019,"Serie A","M","ITA",NA,"Sun",17762,"18:00",0,0.6,1,1.2,18000,"Stadio Olimpico di Torino","Marco Di Bello",NA,"https://fbref.com/en/matches/bf8bed12/Torino-Roma-August-19-2018-Serie-A",0,111,0,0,0,0,0,111,0,0,0,0
1,"Sassuolo","Inter",1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2019,"Serie A","M","ITA",NA,"Sun",17762,"20:30",1,1.5,0,1.1,19104,"Stadio Città del Tricolore","Maurizio Mariani",NA,"https://fbref.com/en/matches/359379e6/Sassuolo-Internazionale-August-19-2018-Serie-A",0,111,0,0,0,0,0,111,0,0,0,0
1,"Empoli","Cagliari",1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2019,"Serie A","M","ITA",NA,"Sun",17762,"20:30",2,1.3,0,0.9,7335,"Stadio Carlo Castellani","Daniele Chiffi",NA,"https://fbref.com/en/matches/4df38742/Empoli-Cagliari-August-19-2018-Serie-A",0,111,0,0,0,0,0,111,0,0,0,0
1,"Parma","Udinese",1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2019,"Serie A","M","ITA",NA,"Sun",17762,"20:30",2,1.5,2,1.9,13141,"Stadio Ennio Tardini","Giampaolo Calvarese",NA,"https://fbref.com/en/matches/52018b4a/Parma-Udinese-August-19-2018-Serie-A",0,111,0,0,0,0,0,111,0,0,0,0
1,"Bologna","SPAL",1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2019,"Serie A","M","ITA",NA,"Sun",17762,"20:30",0,1,1,0.6,21158,"Stadio Renato Dall'Ara","Piero Giacomelli",NA,"https://fbref.com/en/matches/76ad12fa/Bologna-SPAL-August-19-2018-Serie-A",0,111,0,0,0,0,0,111,0,0,0,0
1,"Atalanta","Frosinone",1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2019,"Serie A","M","ITA",NA,"Mon",17763,"20:30",4,2.2,0,0.3,18217,"Stadio Atleti Azzurri d'Italia","Marco Piccinini",NA,"https://fbref.com/en/matches/3c6aced5/Atalanta-Frosinone-August-20-2018-Serie-A",0,111,0,0,0,0,0,111,0,0,0,0
1,"Sampdoria","Fiorentina",1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2019,"Serie A","M","ITA",NA,"Wed",17793,"19:00",1,0.5,1,1.4,18334,"Stadio Comunale Luigi Ferraris","Fabio Maresca",NA,"https://fbref.com/en/matches/55a722ce/Sampdoria-Fiorentina-September-19-2018-Serie-A",0,111,0,0,0,0,0,111,0,0,0,0
1,"Milan","Genoa",1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2019,"Serie A","M","ITA",NA,"Wed",17835,"20:30",2,1.4,1,0.4,46720,"Stadio Giuseppe Meazza","Fabrizio Pasqua",NA,"https://fbref.com/en/matches/7a546b8c/Milan-Genoa-October-31-2018-Serie-A",0,111,0,0,0,0,0,111,0,0,0,0
10,"Atalanta","Parma",1,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2019,"Serie A","M","ITA",NA,"Sat",17831,"15:00",3,3.3,0,0.9,18152,"Stadio Atleti Azzurri d'Italia","Rosario Abisso",NA,"https://fbref.com/en/matches/1048f3fb/Atalanta-Parma-October-27-2018-Serie-A",9,93,0,0,0,0,13,97,0,0,0,0
10,"Empoli","Juventus",1,1,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,2019,"Serie A","M","ITA",NA,"Sat",17831,"18:00",1,0.3,2,1.7,15889,"Stadio Carlo Castellani","Giampaolo Calvarese",NA,"https://fbref.com/en/matches/8fe69070/Empoli-Juventus-October-27-2018-Serie-A",6,90,0,0,0,0,25,109,0,0,0,0
10,"Torino","Fiorentina",1,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2019,"Serie A","M","ITA",NA,"Sat",17831,"20:30",1,0.9,1,1.2,17871,"Stadio Olimpico di Torino","Michael Fabbri",NA,"https://fbref.com/en/matches/e12deac7/Torino-Fiorentina-October-27-2018-Serie-A",13,97,0,0,0,0,14,98,0,0,0,0
10,"Sassuolo","Bologna",1,1,1,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2019,"Serie A","M","ITA",NA,"Sun",17832,"12:30",2,2.2,2,1.3,12647,"Stadio Città del Tricolore","Daniele Doveri",NA,"https://fbref.com/en/matches/d335a746/Sassuolo-Bologna-October-28-2018-Serie-A",14,98,0,0,0,0,8,92,0,0,0,0
10,"SPAL","Frosinone",1,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2019,"Serie A","M","ITA",NA,"Sun",17832,"15:00",0,0.9,3,1,13676,"Stadio Paolo Mazza","Daniele Chiffi",NA,"https://fbref.com/en/matches/86b4e007/SPAL-Frosinone-October-28-2018-Serie-A",12,96,0,0,0,0,2,86,0,0,0,0
10,"Genoa","Udinese",1,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2019,"Serie A","M","ITA",NA,"Sun",17832,"15:00",2,1.7,2,0.5,18880,"Stadio Comunale Luigi Ferraris","Paolo Mazzoleni",NA,"https://fbref.com/en/matches/bc7cf1b6/Genoa-Udinese-October-28-2018-Serie-A",13,97,0,0,0,0,8,92,0,0,0,0
10,"Cagliari","Chievo",1,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2019,"Serie A","M","ITA",NA,"Sun",17832,"15:00",2,1.5,1,1.2,15805,"Sardegna Arena","Marco Piccinini",NA,"https://fbref.com/en/matches/e6163c2a/Cagliari-Chievo-October-28-2018-Serie-A",10,94,0,0,0,0,2,86,0,0,0,0
10,"Milan","Sampdoria",1,1,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,2019,"Serie A","M","ITA",NA,"Sun",17832,"18:00",3,2,2,0.6,47347,"Stadio Giuseppe Meazza","Fabio Maresca",NA,"https://fbref.com/en/matches/e941f340/Milan-Sampdoria-October-28-2018-Serie-A",15,99,0,0,0,0,15,99,0,0,0,0
10,"Napoli","Roma",1,1,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,2019,"Serie A","M","ITA",NA,"Sun",17832,"20:30",1,2.1,1,0.6,30037,"Stadio San Paolo","Davide Massa",NA,"https://fbref.com/en/matches/cd2f642f/Derby-del-Sole-Napoli-Roma-October-28-2018-Serie-A",21,105,0,0,0,0,14,98,0,0,0,0
10,"Lazio","Inter",1,1,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,2019,"Serie A","M","ITA",NA,"Mon",17833,"20:30",0,1.4,3,1.9,40068,"Stadio Olimpico","Massimiliano Irrati",NA,"https://fbref.com/en/matches/3d9c6a02/Lazio-Internazionale-October-29-2018-Serie-A",18,102,0,0,0,0,19,103,0,0,0,0
11,"Napoli","Empoli",1,1,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,2019,"Serie A","M","ITA",NA,"Fri",17837,"20:30",5,2,1,1.2,31370,"Stadio San Paolo","Luca Pairetto",NA,"https://fbref.com/en/matches/aef9f881/Napoli-Empoli-November-2-2018-Serie-A",22,103,0,0,0,0,6,87,0,0,0,0
11,"Inter","Genoa",1,1,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2019,"Serie A","M","ITA",NA,"Sat",17838,"15:00",5,2.9,0,0.4,67532,"Stadio Giuseppe Meazza","Paolo Valeri",NA,"https://fbref.com/en/matches/7e11d375/Internazionale-Genoa-November-3-2018-Serie-A",22,103,0,0,0,0,14,95,0,0,0,0
