"","Season_End_Year","Wk","Home","Away","consequentiality","games_left","leader_points","min_champions_points","min_europa_points","max_relegation_points"
"1",2019,1,"Chievo","Juventus","Consequential",37,5,116,116,5
"2",2019,1,"Lazio","Napoli","Consequential",37,5,116,116,5
"3",2019,1,"Torino","Roma","Consequential",37,5,116,116,5
"4",2019,1,"Sassuolo","Inter","Consequential",37,5,116,116,5
"5",2019,1,"Empoli","Cagliari","Consequential",37,5,116,116,5
"6",2019,1,"Parma","Udinese","Consequential",37,5,116,116,5
"7",2019,1,"Bologna","SPAL","Consequential",37,5,116,116,5
"8",2019,1,"Atalanta","Frosinone","Consequential",37,5,116,116,5
"9",2019,1,"Sampdoria","Fiorentina","Consequential",37,5,116,116,5
"10",2019,1,"Milan","Genoa","Consequential",37,5,116,116,5
"11",2019,2,"Juventus","Lazio","Consequential",36,7,115,112,4
"12",2019,2,"Napoli","Milan","Consequential",36,7,115,112,4
"13",2019,2,"SPAL","Parma","Consequential",36,7,115,112,4
"14",2019,2,"Cagliari","Sassuolo","Consequential",36,7,115,112,4
"15",2019,2,"Genoa","Empoli","Consequential",36,7,115,112,4
"16",2019,2,"Inter","Torino","Consequential",36,7,115,112,4
"17",2019,2,"Frosinone","Bologna","Consequential",36,7,115,112,4
"18",2019,2,"Udinese","Sampdoria","Consequential",36,7,115,112,4
"19",2019,2,"Fiorentina","Chievo","Consequential",36,7,115,112,4
"20",2019,2,"Roma","Atalanta","Consequential",36,7,115,112,4
"21",2019,3,"Milan","Roma","Consequential",35,4,109,109,4
"22",2019,3,"Bologna","Inter","Consequential",35,4,109,109,4
"23",2019,3,"Parma","Juventus","Consequential",35,4,109,109,4
"24",2019,3,"Fiorentina","Udinese","Consequential",35,4,109,109,4
"25",2019,3,"Torino","SPAL","Consequential",35,4,109,109,4
"26",2019,3,"Chievo","Empoli","Consequential",35,4,109,109,4
"27",2019,3,"Sampdoria","Napoli","Consequential",35,4,109,109,4
"28",2019,3,"Atalanta","Cagliari","Consequential",35,4,109,109,4
"29",2019,3,"Lazio","Frosinone","Consequential",35,4,109,109,4
"30",2019,3,"Sassuolo","Genoa","Consequential",35,4,109,109,4
"31",2019,4,"Inter","Parma","Consequential",34,6,108,108,6
"32",2019,4,"Napoli","Fiorentina","Consequential",34,6,108,108,6
"33",2019,4,"Frosinone","Sampdoria","Consequential",34,6,108,108,6
"34",2019,4,"Roma","Chievo","Consequential",34,6,108,108,6
"35",2019,4,"Udinese","Torino","Consequential",34,6,108,108,6
"36",2019,4,"Juventus","Sassuolo","Consequential",34,6,108,108,6
"37",2019,4,"Genoa","Bologna","Consequential",34,6,108,108,6
"38",2019,4,"Empoli","Lazio","Consequential",34,6,108,108,6
"39",2019,4,"Cagliari","Milan","Consequential",34,6,108,108,6
"40",2019,4,"SPAL","Atalanta","Consequential",34,6,108,108,6
"41",2019,5,"Sassuolo","Empoli","Consequential",33,4,103,103,4
"42",2019,5,"Parma","Cagliari","Consequential",33,4,103,103,4
"43",2019,5,"Fiorentina","SPAL","Consequential",33,4,103,103,4
"44",2019,5,"Sampdoria","Inter","Consequential",33,4,103,103,4
"45",2019,5,"Torino","Napoli","Consequential",33,4,103,103,4
"46",2019,5,"Lazio","Genoa","Consequential",33,4,103,103,4
"47",2019,5,"Bologna","Roma","Consequential",33,4,103,103,4
"48",2019,5,"Chievo","Udinese","Consequential",33,4,103,103,4
"49",2019,5,"Milan","Atalanta","Consequential",33,4,103,103,4
"50",2019,5,"Frosinone","Juventus","Consequential",33,4,103,103,4
"51",2019,6,"Inter","Fiorentina","Consequential",32,6,102,102,6
"52",2019,6,"Udinese","Lazio","Consequential",32,6,102,102,6
"53",2019,6,"Napoli","Parma","Consequential",32,6,102,102,6
"54",2019,6,"Genoa","Chievo","Consequential",32,6,102,102,6
"55",2019,6,"Cagliari","Sampdoria","Consequential",32,6,102,102,6
"56",2019,6,"Roma","Frosinone","Consequential",32,6,102,102,6
"57",2019,6,"Juventus","Bologna","Consequential",32,6,102,102,6
"58",2019,6,"Atalanta","Torino","Consequential",32,6,102,102,6
"59",2019,6,"SPAL","Sassuolo","Consequential",32,6,102,102,6
"60",2019,6,"Empoli","Milan","Consequential",32,6,102,102,6
"61",2019,7,"Roma","Lazio","Consequential",31,3,96,96,3
"62",2019,7,"Juventus","Napoli","Consequential",31,3,96,96,3
"63",2019,7,"Inter","Cagliari","Consequential",31,3,96,96,3
"64",2019,7,"Bologna","Udinese","Consequential",31,3,96,96,3
"65",2019,7,"Chievo","Torino","Consequential",31,3,96,96,3
"66",2019,7,"Fiorentina","Atalanta","Consequential",31,3,96,96,3
"67",2019,7,"Frosinone","Genoa","Consequential",31,3,96,96,3
"68",2019,7,"Parma","Empoli","Consequential",31,3,96,96,3
"69",2019,7,"Sassuolo","Milan","Consequential",31,3,96,96,3
"70",2019,7,"Sampdoria","SPAL","Consequential",31,3,96,96,3
"71",2019,8,"Torino","Frosinone","Consequential",30,3,93,93,3
"72",2019,8,"Cagliari","Bologna","Consequential",30,3,93,93,3
"73",2019,8,"Udinese","Juventus","Consequential",30,3,93,93,3
"74",2019,8,"Empoli","Roma","Consequential",30,3,93,93,3
"75",2019,8,"Genoa","Parma","Consequential",30,3,93,93,3
"76",2019,8,"Milan","Chievo","Consequential",30,3,93,93,3
"77",2019,8,"Atalanta","Sampdoria","Consequential",30,3,93,93,3
"78",2019,8,"Lazio","Fiorentina","Consequential",30,3,93,93,3
"79",2019,8,"Napoli","Sassuolo","Consequential",30,3,93,93,3
"80",2019,8,"SPAL","Inter","Consequential",30,3,93,93,3
"81",2019,9,"Roma","SPAL","Consequential",29,8,95,92,5
"82",2019,9,"Juventus","Genoa","Consequential",29,8,95,92,5
"83",2019,9,"Udinese","Napoli","Consequential",29,8,95,92,5
"84",2019,9,"Frosinone","Empoli","Consequential",29,8,95,92,5
"85",2019,9,"Chievo","Atalanta","Consequential",29,8,95,92,5
"86",2019,9,"Bologna","Torino","Consequential",29,8,95,92,5
"87",2019,9,"Parma","Lazio","Consequential",29,8,95,92,5
"88",2019,9,"Fiorentina","Cagliari","Consequential",29,8,95,92,5
"89",2019,9,"Inter","Milan","Consequential",29,8,95,92,5
"90",2019,9,"Sampdoria","Sassuolo","Consequential",29,8,95,92,5
"91",2019,10,"Atalanta","Parma","Consequential",28,7,91,88,4
