"","Competition_Name","Gender","Country","Season_End_Year","Round","Wk","Day","Date","Time","Home","HomeGoals","Home_xG","Away","AwayGoals","Away_xG","Attendance","Venue","Referee","Notes","MatchURL"
"1","Serie A","M","ITA",2023,"Serie A","1","Sat",2022-08-13,"18:30","Sampdoria",0,1,"Atalanta",2,2.2,20047,"Stadio Comunale Luigi Ferraris","Federico Dionisi",NA,"https://fbref.com/en/matches/185d9e37/Sampdoria-Atalanta-August-13-2022-Serie-A"
"2","Serie A","M","ITA",2023,"Serie A","1","Sat",2022-08-13,"18:30","Milan",4,2.3,"Udinese",2,0.5,70197,"Stadio Giuseppe Meazza","Livio Marinelli",NA,"https://fbref.com/en/matches/bb758ef8/Milan-Udinese-August-13-2022-Serie-A"
"3","Serie A","M","ITA",2023,"Serie A","1","Sat",2022-08-13,"20:45","Monza",1,1.4,"Torino",2,2.1,10739,"U-Power Stadium","Maurizio Mariani",NA,"https://fbref.com/en/matches/5f0a8b10/Monza-Torino-August-13-2022-Serie-A"
"4","Serie A","M","ITA",2023,"Serie A","1","Sat",2022-08-13,"20:45","Lecce",1,0.7,"Inter",2,2.1,25353,"Stadio Comunale Via Del Mare","Alessandro Prontera",NA,"https://fbref.com/en/matches/6b610c5c/Lecce-Internazionale-August-13-2022-Serie-A"
"5","Serie A","M","ITA",2023,"Serie A","1","Sun",2022-08-14,"18:30","Fiorentina",3,2,"Cremonese",2,1.3,34461,"Stadio Artemio Franchi","Juan Sacchi",NA,"https://fbref.com/en/matches/3ed8bdff/Fiorentina-Cremonese-August-14-2022-Serie-A"
"6","Serie A","M","ITA",2023,"Serie A","1","Sun",2022-08-14,"18:30","Lazio",2,0.7,"Bologna",1,1.5,45000,"Stadio Olimpico","Luca Massimi",NA,"https://fbref.com/en/matches/c5003e68/Lazio-Bologna-August-14-2022-Serie-A"
"7","Serie A","M","ITA",2023,"Serie A","1","Sun",2022-08-14,"20:45","Spezia",1,0.5,"Empoli",0,0.7,8360,"Stadio Alberto Picco","Daniele Chiffi",NA,"https://fbref.com/en/matches/26520b87/Spezia-Empoli-August-14-2022-Serie-A"
"8","Serie A","M","ITA",2023,"Serie A","1","Sun",2022-08-14,"20:45","Salernitana",0,0.6,"Roma",1,2.4,26006,"Stadio Arechi","Simone Sozza",NA,"https://fbref.com/en/matches/ff9838f3/Salernitana-Roma-August-14-2022-Serie-A"
"9","Serie A","M","ITA",2023,"Serie A","1","Mon",2022-08-15,"18:30","Hellas Verona",2,1.1,"Napoli",5,2.4,16967,"Stadio Marc'Antonio Bentegodi","Michael Fabbri",NA,"https://fbref.com/en/matches/3e0bda8d/Hellas-Verona-Napoli-August-15-2022-Serie-A"
"10","Serie A","M","ITA",2023,"Serie A","1","Mon",2022-08-15,"20:45","Juventus",3,2,"Sassuolo",0,0.9,38725,"Allianz Stadium","Antonio Rapuano",NA,"https://fbref.com/en/matches/59f4c84f/Juventus-Sassuolo-August-15-2022-Serie-A"
"11","Serie A","M","ITA",2023,"Serie A","10","Sat",2022-10-15,"15:00","Empoli",1,1.8,"Monza",0,1.3,7258,"Stadio Carlo Castellani","Antonio Rapuano",NA,"https://fbref.com/en/matches/4c8ab4e7/Empoli-Monza-October-15-2022-Serie-A"
"12","Serie A","M","ITA",2023,"Serie A","10","Sat",2022-10-15,"18:00","Torino",0,0.6,"Juventus",1,2.1,22269,"Stadio Olimpico di Torino","Maurizio Mariani",NA,"https://fbref.com/en/matches/b183d7de/Torino-Juventus-October-15-2022-Serie-A"
"13","Serie A","M","ITA",2023,"Serie A","10","Sat",2022-10-15,"20:45","Atalanta",2,2.5,"Sassuolo",1,0.8,17772,"Gewiss Stadium","Matteo Marcenaro",NA,"https://fbref.com/en/matches/4b70032c/Atalanta-Sassuolo-October-15-2022-Serie-A"
"14","Serie A","M","ITA",2023,"Serie A","10","Sun",2022-10-16,"12:30","Inter",2,1.7,"Salernitana",0,0.4,75452,"Stadio Giuseppe Meazza","Juan Sacchi",NA,"https://fbref.com/en/matches/76b81245/Internazionale-Salernitana-October-16-2022-Serie-A"
"15","Serie A","M","ITA",2023,"Serie A","10","Sun",2022-10-16,"15:00","Lazio",0,0.8,"Udinese",0,0.9,45000,"Stadio Olimpico","Andrea Colombo",NA,"https://fbref.com/en/matches/87eec089/Lazio-Udinese-October-16-2022-Serie-A"
"16","Serie A","M","ITA",2023,"Serie A","10","Sun",2022-10-16,"15:00","Spezia",2,1.5,"Cremonese",2,2.1,8400,"Stadio Alberto Picco","Gianluca Manganiello",NA,"https://fbref.com/en/matches/a571c771/Spezia-Cremonese-October-16-2022-Serie-A"
